# top domain
cd .ru .kemerovo
cd .ru .khabarovsk
cd .ru .khakassia
cd .ru .khv
cd .ru .kirov
cd .ru .kms
cd .ru .koenig
cd .ru .komi
cd .ru .kostroma
cd .ru .krasnoyarsk
cd .ru .kuban
cd .ru .kurgan
cd .ru .kursk
cd .ru .kustanai
cd .ru .kuzbass
cd .ru .lipetsk
cd .ru .magadan
cd .ru .magnitka
cd .ru .mari-el
cd .ru .mari
cd .ru .marine
cd .ru .mordovia
cd .ru .mosreg
cd .ru .msk
cd .ru .murmansk
cd .ru .mytis
cd .ru .nakhodka
cd .ru .nalchik
cd .ru .nkz
cd .ru .nnov
cd .ru .norilsk
cd .ru .nov
cd .ru .novosibirsk
cd .ru .nsk
cd .ru .omsk
cd .ru .orenburg
cd .ru .oryol
cd .ru .oskol
cd .ru .palana
cd .ru .penza
cd .ru .perm
cd .ru .pp
cd .ru .pskov
cd .ru .ptz
cd .ru .pyatigorsk
cd .ru .rnd
cd .ru .rubtsovsk
cd .ru .ryazan
cd .ru .sakhalin
cd .ru .samara
cd .ru .saratov
cd .ru .simbirsk
cd .ru .smolensk
cd .ru .snz
cd .ru .spb
cd .ru .stavropol
cd .ru .stv
cd .ru .surgut
cd .ru .syzran
cd .ru .tambov
cd .ru .tatarstan
cd .ru .test
cd .ru .tom
cd .ru .tomsk
cd .ru .tsaritsyn
cd .ru .tsk
cd .ru .tula
cd .ru .tuva
cd .ru .tver
cd .ru .tyumen
cd .ru .udm
cd .ru .udmurtia
cd .ru .ulan-ude
cd .ru .vdonsk
cd .ru .vladikavkaz
cd .ru .vladimir
cd .ru .vladivostok
cd .ru .volgograd
cd .ru .vologda
cd .ru .voronezh
cd .ru .vrn
cd .ru .vyatka
cd .ru .yakutia
cd .ru .yamal
cd .ru .yaroslavl
cd .ru .yekaterinburg
cd .ru .yuzhno-sakhalinsk
cd .ru .zgrad
cd .rw .ac
cd .rw .co
cd .rw .gouv
cd .rs .ac
cd .rs .co
cd .rs .in
cd .re .asso
cd .re .nom
cd .net .de
cd .net .gb
cd .net .uk
cd .ro .arts
